"","cue","coverage","H","unknown","xR2","xR3","N"
"72","aching",94.8275862068966,3.7919888334661,0,3,4,300
"73","acid",84.5890410958904,4.22741441067412,0,1,6,300
"74","acidic",77.4744027303754,4.14314039457049,0,0,7,300
"75","acknowledge",92.962962962963,4.42173751164114,2,3,18,300
"76","acne",87.4564459930314,3.77545782950431,2,2,3,300
"77","acorn",93.8775510204082,3.01909022161516,1,0,3,300
"78","acoustic",92.4657534246575,3.49073407281461,1,0,5,300
"79","acquaintance",88.2783882783883,3.72874151608513,3,4,10,300
"80","acquire",93.2862190812721,3.84453505068456,1,2,10,300
"81","acre",88.1944444444444,3.69003038988795,1,1,7,300
"82","acrid",96.4125560538117,3.89320180451947,18,7,9,300
"83","acrobat",88.5416666666667,3.78814377117865,0,0,12,300
"84","acrobatics",80.7692307692308,4.234463900656,1,1,9,300
"85","acronym",68.695652173913,4.21282222251526,7,22,5,300
"86","across",85.1985559566787,4.37807885796605,3,1,12,300
"87","act",90.3448275862069,4.01003869141283,0,2,6,300
"88","acting",87.9725085910653,4.35210737782793,1,1,4,300
"89","action",86.6666666666667,4.48895611930885,1,2,8,300
"90","actions",66.4,4.41084031420459,2,14,16,300
"91","activate",88.8489208633094,4.01077399994986,2,4,8,300
"92","active",89.7610921501707,4.40910146148152,0,1,5,300
"93","activist",79.1208791208791,4.75725412800845,1,8,8,300
"94","activity",92.7272727272727,4.33355097644141,3,5,6,300
"95","actor",85.8131487889273,4.18446831164178,0,3,5,300
"96","actors",70.3571428571429,4.36903437996203,0,6,8,300
"97","actress",82.1917808219178,4.18540987584043,0,3,2,300
"98","actual",88.0597014925373,3.46209295152496,2,3,20,300
"99","actually",77.0992366412214,4.15718851184426,7,6,5,300
"100","acute",95.4063604240283,3.89608280429862,2,2,7,300
"101","ad",84.3866171003718,4.34372112094061,4,7,5,300
"102","Adam",78.3088235294118,3.1811962666639,2,7,8,300
"103","adapt",88.6861313868613,4.22989979499478,1,7,9,300
"104","add",95.53264604811,3.66903560877721,0,1,7,300
"105","added",71.0247349823322,3.91722504624422,1,3,8,300
"106","addict",91.9298245614035,4.01756251089759,1,3,6,300
"107","addicted",86.9565217391304,4.11229172473823,0,9,6,300
"108","addiction",93.448275862069,3.94143277550215,0,2,6,300
"109","addictive",87.1886120996441,4.33392512485514,0,6,7,300
"110","addition",92.4137931034483,3.54365371915144,1,0,7,300
"111","additional",91.2087912087912,3.63595100825016,1,6,12,300
"112","additionally",88.1918819188192,3.53561415212091,2,5,13,300
"113","additive",77.0909090909091,4.25914190475233,2,5,9,300
"114","address",91.0652920962199,3.89561215963922,0,2,5,300
"115","adept",91.015625,4.24281159530915,11,1,9,300
"116","adequate",86.8131868131868,4.04394685731567,4,3,9,300
"117","adhere",90.9774436090226,3.56246287458948,6,1,14,300
"118","adhesive",92.1428571428571,2.64371403747382,2,2,10,300
"119","adieu",78.5977859778598,3.34614550407998,5,2,10,300
"120","adjacent",90.8759124087591,3.73486955585971,3,3,11,300
"121","adjective",89.7435897435898,3.62430042534592,5,2,8,300
"122","adjourn",95.2755905511811,3.8012698756532,11,1,11,300
"123","adjust",90.1098901098901,4.2128583247222,3,3,12,300
"124","adjustment",88,4.50468533969572,2,5,9,300
"125","administration",82.3728813559322,4.61920304908581,0,1,3,300
"126","administrator",82.5757575757576,4.38050476985689,2,9,12,300
"127","admirable",78.8381742738589,4.56752674229028,1,22,12,300
"128","admiral",86.8512110726644,3.72797059521502,0,3,5,300
"129","admiration",85.3174603174603,4.18578297163737,3,14,11,300
"130","admire",90.2255639097744,4.2061008892493,5,3,13,300
"131","admission",89.3617021276596,4.13085168774712,1,3,9,300
"132","admit",87.037037037037,4.13117250920905,2,7,10,300
"133","adobe",81.4393939393939,3.86732481768149,9,1,7,300
"134","adolescence",91.7525773195876,3.84388507682948,0,4,1,300
"135","adolescent",88.8888888888889,3.93132397854289,2,0,6,300
"136","adopt",88.8888888888889,3.97428634877472,0,9,12,300
"137","adoption",90.9090909090909,4.07337166451805,0,5,15,300
"138","adorable",93.448275862069,3.55312651544813,1,1,5,300
"139","adoration",90.4929577464789,3.96901209897318,0,3,10,300
"140","adore",90.9090909090909,3.73525616773907,0,4,6,300
"141","adored",76.1732851985559,3.9182301451118,0,6,11,300
"142","adorn",91.566265060241,4.19635796972463,9,6,12,300
"143","adornment",82.9787234042553,4.08698460022574,11,11,10,300
"144","adrenal",59.3301435406699,3.50329284871867,17,16,8,300
"145","adrenaline",87.1186440677966,4.09066696587395,0,1,3,300
"146","ads",72.5631768953069,4.58277926419971,0,7,9,300
"147","adult",91.9413919413919,4.10182234712411,0,7,13,300
"148","adultery",91.8149466192171,4.27200590598818,1,4,8,300
"149","adults",84.8375451263538,4.00795444798607,0,4,15,300
"150","advance",90.8450704225352,4.28311662337534,2,1,8,300
"151","advanced",84.0989399293286,4.69388952170892,2,2,7,300
"152","advancement",90.0383141762452,4.11019572730536,0,14,11,300
"153","advantage",90.6367041198502,4.49387385580273,5,2,14,300
"154","adventure",89.9653979238754,4.72127868857534,1,1,6,300
"155","adventurer",81.4126394052045,4.71895117290272,0,9,13,300
"156","adventurous",86.7132867132867,4.63393931029546,1,2,7,300
"157","adverb",88.4892086330935,3.62310240736061,0,7,8,300
"158","adversary",91.1538461538461,3.58738313113315,9,2,9,300
"159","adversity",90.7142857142857,4.35179368852199,4,1,6,300
"160","advert",86.9565217391304,4.09677307241265,7,23,3,300
"161","advertise",86.2542955326461,4.38681685355556,0,0,9,300
"162","advertisement",84.5070422535211,4.70992668945188,0,4,8,300
"163","advertising",80.4123711340206,4.69044632550648,1,0,6,300
"164","advice",94.9275362318841,4.48192895083551,1,5,11,300
"165","Advil",76.1904761904762,3.41633381492127,21,1,4,300
"166","advise",93.1899641577061,4.33718034426297,1,2,14,300
"167","advisor",86.7857142857143,4.14451621889076,2,0,14,300
"168","advocate",85.2517985611511,4.47753733555566,2,3,10,300
"169","aerobics",84.6153846153846,4.07442339088281,1,4,3,300
"170","aerosol",85.6031128404669,3.13861404039154,2,15,7,300
"171","aesthetics",88.0434782608696,3.96885324072731,3,5,5,300
"172","afar",88.8888888888889,3.82038708872924,4,9,9,300
"173","a few",73.6059479553903,3.93444850046536,1,8,12,300
"174","affair",89.247311827957,4.41429916039282,2,4,7,300
"175","affairs",82.051282051282,4.59213229405294,4,5,5,300
"176","affect",93.4362934362934,4.14003660923674,5,5,16,300
"177","affection",94.7916666666667,3.6208260898509,1,0,9,300
"178","affectionate",94.9324324324324,3.93978857939974,1,0,1,300
"179","affirm",86.4341085271318,4.37247919399252,9,2,11,300
"180","affirmative",89.5470383275261,3.80309780117963,0,1,11,300
"181","affluent",87.0689655172414,3.5775390598089,14,9,8,300
"182","afford",91.2280701754386,4.03476987805806,0,4,7,300
"183","affordable",86.159169550173,3.8351961123221,0,3,5,300
"184","afraid",92.4657534246575,3.61830126734984,0,2,4,300
"185","Africa",87.3720136518771,4.34468182777393,1,1,2,300
"186","African",81.1643835616438,4.41919607869717,1,0,5,300
"187","after",93.75,3.82505232814044,0,0,12,300
"188","afternoon",92.4398625429553,3.91727511890275,1,0,6,300
"189","aftershave",93.9501779359431,3.98343566137805,1,3,10,300
"190","afterwards",92.3664122137405,3.80360735775108,3,9,11,300
"191","again",87.9120879120879,3.86458258339845,2,3,15,300
"192","against",90.1754385964912,4.19141526199737,0,3,9,300
"193","age",87.1080139372822,4.2561271320392,0,2,9,300
"194","aged",91.0958904109589,3.75971160949851,1,1,3,300
"195","ageless",87.7470355731225,4.07163994480312,4,11,13,300
"196","agency",87.8892733564014,4.69823891653074,0,4,3,300
"197","agenda",91.6967509025271,4.23007310157732,2,3,11,300
"198","agent",84.2657342657343,4.38476864044417,0,3,8,300
"199","ages",62.2222222222222,4.36224894243883,1,10,7,300
"200","aggravate",88.1481481481482,3.94620514347249,4,3,12,300
"201","aggression",93.8566552901024,4.26803218660932,1,1,2,300
"202","aggressive",90.4761904761905,4.52927292899435,0,1,4,300
"203","aghast",76.3157894736842,3.76721596043854,10,16,10,300
"204","agile",91.98606271777,4.07198558629794,1,3,4,300
"205","agility",80.3703703703704,4.33220229893077,3,6,9,300
"206","aging",82.5783972125435,4.0578437268319,0,2,9,300
"207","agitate",89.010989010989,4.16453521563902,2,4,13,300
"208","agitated",83.2116788321168,3.97286528253773,0,9,8,300
"209","agnostic",78.125,4.28465722800299,4,8,16,300
"210","ago",89.8550724637681,3.34437580569362,0,6,12,300
"211","agony",93.4256055363322,3.60043024291085,2,1,3,300
"212","agree",86.0714285714286,4.29979332321223,0,4,12,300
"213","agreeable",78.7072243346008,4.15936680400214,1,12,10,300
"214","agreed",77.2727272727273,4.42610355190397,0,13,10,300
"215","agreement",87.7697841726619,4.26159327308704,1,4,11,300
"216","agriculture",89.8305084745763,3.7631085657111,0,1,3,300
"217","ahead",89.7887323943662,4.26111803509655,0,4,8,300
"218","ahoy",92.6470588235294,3.51554713976107,4,4,8,300
"219","aid",91.6955017301038,3.5940294347096,0,2,7,300
"220","aide",82.8947368421053,3.98991212807463,13,13,7,300
"221","aids",81.8815331010453,3.80977948263724,0,3,7,300
"222","ailment",93.1818181818182,3.3358024275126,8,2,8,300
"223","aim",95.3900709219858,3.5508111228727,1,4,7,300
"224","aimless",73.6842105263158,4.3546110075622,0,11,12,300
"225","air",97.6588628762542,3.94010700851042,0,0,1,300
"226","air conditioning",85.9106529209622,4.08545209867383,0,3,3,300
"227","aircraft",90.5084745762712,3.63705331705272,1,1,0,300
"228","air force",82.8178694158076,3.91404837015593,1,1,4,300
"229","airhead",81.7843866171004,4.15573297384121,4,5,9,300
"230","airless",86.8525896414343,4.02233211742651,2,16,11,300
"231","airline",87.5420875420875,4.0437410158485,0,0,3,300
"232","airplane",89.4557823129252,4.16178258183897,0,1,4,300
"233","airport",91.6083916083916,4.13742049020402,1,2,7,300
"234","airship",81.496062992126,3.96425447723479,5,9,13,300
"235","airy",88,3.98816807826759,5,3,4,300
"236","aisle",91.0112359550562,3.93766354153146,5,5,8,300
"237","alarm",94.19795221843,3.9802272886253,0,0,7,300
"238","alas",61.3333333333333,4.19049650302141,9,15,18,300
"239","Alaska",82.8767123287671,3.83720783487512,0,2,4,300
"240","Albert",75.7322175732218,3.65283374646429,0,24,13,300
"241","album",92.9328621908127,3.39739205916141,0,4,9,300
"242","alchemy",83.7735849056604,3.60540366812406,4,7,9,300
"243","alcohol",92.8327645051195,3.99731520660389,0,2,3,300
"244","alcoholic",86.013986013986,4.44789352082291,1,2,7,300
"245","alcoholism",85.4092526690391,4.18912430086819,1,5,6,300
"246","ale",91.5789473684211,3.33021317168091,4,1,1,300
"247","alert",89.7610921501707,3.98446966827646,0,1,5,300
"248","algae",90.4929577464789,3.56271891876208,2,3,4,300
"249","algebra",85.121107266436,3.93849420798471,0,0,11,300
"250","algorithm",87.0967741935484,4.08660555745132,3,3,6,300
"251","alibi",90.6716417910448,4.07413616236289,5,4,9,300
"252","alien",83.6236933797909,4.06976063190614,1,2,6,300
"253","aliens",70.7482993197279,4.21445816914579,0,0,6,300
"254","align",89.3772893772894,4.29009633724053,3,5,8,300
"255","alike",87.360594795539,3.42553581390449,2,5,15,300
"256","a little",73.8805970149254,3.57832632990841,1,8,13,300
"257","alive",92.9078014184397,4.08567155483043,2,2,8,300
"258","all",89.5470383275261,3.9801809612042,0,1,11,300
"259","allegiance",93.5251798561151,3.95541616964923,4,1,8,300
"260","allergic",80.9523809523809,4.25967305579781,0,1,4,300
"261","allergies",83.7931034482759,4.19343678031299,1,1,5,300
"262","allergy",84.3537414965986,4.14096352634654,0,1,4,300
"263","alley",85.3571428571428,3.92605016100069,1,3,11,300
"264","alliance",88.0701754385965,4.42592235492006,2,2,5,300
"265","alligator",90.3448275862069,3.63113429734775,1,2,3,300
"266","allow",93.4865900383142,3.60135219065781,0,12,15,300
"267","allowance",86.0215053763441,3.70260217504445,0,3,15,300
"268","allowed",88.4758364312268,4.02483666751058,1,6,16,300
"269","alloy",89.9193548387097,3.38774172115554,9,8,9,300
"270","allspice",91.1894273127753,4.10214814063317,20,4,5,300
"271","allure",85.59670781893,4.35426218354293,8,10,13,300
"272","ally",88.5416666666667,3.86495613396204,2,0,6,300
"273","almanac",83.9416058394161,4.08384641045426,3,5,7,300
"274","almighty",84.8056537102474,3.55925097483353,0,5,7,300
"275","almond",91.7808219178082,3.91314686946168,1,1,3,300
"276","almonds",83.3922261484099,3.96386711760837,0,5,7,300
"277","almost",81.25,3.60809456106079,0,1,10,300
"278","aloe",71.1678832116788,3.24035884282774,5,4,3,300
"279","alone",93.2835820895522,3.98291477944468,2,5,16,300
"280","along",92.962962962963,3.87742402938102,2,7,10,300
"281","alongside",89.1696750902527,3.9504443139344,1,7,6,300
"282","aloof",88.212927756654,4.51144473803538,9,1,8,300
"283","alot",82.0754716981132,4.23685787175788,20,9,10,300
"284","a lot",91.4285714285714,3.70727241548889,0,7,6,300
"285","aloud",83.4677419354839,4.3014943518791,3,16,11,300
"286","alpha",91.7808219178082,3.36486760502625,1,2,1,300
"287","alphabet",86.8794326241135,3.66895936086987,2,2,8,300
"288","Alpine",87.2791519434629,3.84203000748499,3,3,2,300
"289","Alps",83.3935018050541,3.15313122103112,2,5,7,300
"290","already",85.5018587360595,3.80144628524258,3,3,16,300
"291","alright",88.9655172413793,3.50443016193598,0,1,8,300
"292","also",85.9315589353612,3.48006226301517,3,9,10,300
"293","altar",93.5153583617747,3.71787347137764,1,0,4,300
"294","alter",91.5750915750916,3.80543918009694,2,5,11,300
"295","alteration",84.8249027237354,3.77736614406168,3,12,10,300
"296","alternate",87.6325088339223,4.1698055952518,1,3,8,300
"297","alternative",90.4255319148936,4.03544706725201,1,2,11,300
"298","alternatively",87.0445344129555,4.06891903646689,8,6,17,300
"299","although",87.9377431906615,4.11024206403217,5,7,14,300
"300","altitude",90.3780068728522,3.38269448083612,1,0,6,300
"301","alto",91.2350597609562,3.52808669008752,11,4,8,300
"302","altruism",80.7692307692308,4.48432101671977,10,3,4,300
"303","altruistic",86.0655737704918,4.13533205360131,10,10,6,300
"304","aluminum",93.3797909407666,3.65857470038137,0,4,5,300
"305","alumni",89.2857142857143,3.87228919841492,1,3,11,300
"306","Alvin",65.4255319148936,3.19396731351988,9,37,11,300
"307","always",83.3935018050541,3.88207214639425,0,7,9,300
"308","am",76.0147601476015,3.61243149028007,0,10,9,300
"309","amass",89.8230088495575,3.75548842177154,10,19,6,300
"310","amateur",83.6879432624114,4.49570469146424,0,2,14,300
"311","amaze",92.7272727272727,4.03470206872159,2,7,5,300
"312","amazement",85.8156028368794,4.12575826724552,2,1,10,300
"313","amazing",94.7183098591549,4.09466867264863,1,3,7,300
"314","Amazon",87.5,3.81145870959032,0,2,8,300
"315","ambassador",81.8518518518518,4.27235108705367,0,11,8,300
"316","amber",88.135593220339,4.38100959144084,0,1,3,300
"317","ambiance",96.551724137931,3.92032591083368,6,5,11,300
"318","ambient",91.0780669144982,4.22813961556818,6,3,7,300
"319","ambiguous",83.6,4.25890622947006,10,5,10,300
"320","ambition",93.6170212765958,4.39515785874424,1,2,11,300
"321","ambitious",79.7709923664122,4.89914999899449,1,11,13,300
"322","amble",79.6536796536797,3.58030753817302,20,2,5,300
"323","ambulance",88.013698630137,3.80467342142874,1,1,3,300
"324","ambush",90.5594405594406,4.24729299481652,0,1,12,300
"325","amen",88.1944444444444,3.61213329598205,0,4,4,300
"326","amend",86.0902255639098,3.73725010702394,2,8,12,300
"327","America",76.2886597938144,4.41318034694136,1,1,4,300
"328","American",86.8965517241379,4.72400890044554,0,4,2,300
"329","Americans",78.4172661870504,4.88332942451617,1,5,9,300
"330","amiable",83.1325301204819,3.47289443979097,11,6,6,300
"331","amid",88.2591093117409,3.67781513562939,8,8,13,300
"332","amino acid",80.7843137254902,3.91596560730383,2,15,9,300
"333","ammo",83.0935251798561,3.72230287119086,6,0,4,300
"334","ammunition",77.4193548387097,3.73409716748615,0,6,9,300
"335","amoeba",79.3357933579336,4.31604667610169,5,3,8,300
"336","amok",81.2244897959184,4.12054513787121,7,10,14,300
"337","among",88.4758364312268,3.73413006706976,3,5,12,300
"338","amongst",90.188679245283,3.73882682159071,1,12,8,300
"339","amorphous",62.5,4.34539049232534,27,15,13,300
"340","amount",92.2794117647059,3.88767028372018,0,8,12,300
"341","amp",84.8,3.89743303335828,14,3,2,300
"342","amphibian",92.4187725631769,3.196355831577,4,1,9,300
"343","ample",92.7756653992395,4.00469868845557,4,4,17,300
"344","amplifier",85.7638888888889,3.62785679023416,0,2,8,300
"345","amplify",78.0918727915194,3.95538715631895,2,3,5,300
"346","amuse",90.4255319148936,3.63557516070207,0,5,8,300
"347","amusement",92.0962199312715,3.49944625599156,0,3,3,300
"348","amusing",89.9305555555556,3.52986796119606,0,2,8,300
"349","an",92.96875,3.93496048919316,8,6,8,300
"350","anagram",76.890756302521,4.20802891571519,6,17,10,300
"351","anal",73.3812949640288,4.0879095694898,2,1,14,300
"352","analog",85.6088560885609,3.71374776667649,2,7,9,300
"353","analogy",85.7758620689655,3.80754727416758,6,18,14,300
"354","analysis",90.7216494845361,4.80692574948406,1,2,2,300
"355","analyst",90.8366533864542,4.54615590893004,2,17,9,300
"356","analytical",88.0434782608696,4.53698699285953,1,9,3,300
"357","analyze",91.5789473684211,4.68946306209975,1,1,10,300
"358","anarchist",71.0622710622711,4.62851514288115,1,7,10,300
"359","anarchy",83.9285714285714,4.38226010895281,3,1,9,300
"360","anatomy",86.6894197952219,3.80260830441653,1,0,4,300
"361","ancestor",87.1080139372822,4.07650406327435,1,2,6,300
"362","ancestors",78.0487804878049,4.12341032191849,0,3,7,300
"363","ancestry",85.6655290102389,3.88706949600596,0,2,3,300
"364","anchor",90.8474576271186,3.85808071729609,0,1,3,300
"365","anchovy",93.1034482758621,2.93514895543706,0,3,4,300
"366","ancient",87.5,3.75771666985236,1,4,9,300
"367","and",92.226148409894,3.55605952442238,0,4,9,300
"368","android",82.8467153284672,3.31832237766807,0,11,4,300
"369","anecdote",88.8,3.71818448712637,6,11,10,300
"370","anemia",79.4007490636704,3.67965628624805,5,7,4,300
"371","anew",80.5194805194805,3.66231151512113,11,12,12,300
"372","angel",91.4675767918089,4.03698223658328,1,0,4,300
"373","angelic",91.7241379310345,4.06771333832107,1,2,3,300
"374","angels",80.2013422818792,3.8242308968086,0,0,2,300
"375","anger",90.8127208480565,4.12531650825513,2,2,7,300
"376","angle",90.625,4.09302097064343,0,3,6,300
"377","angled",75.098814229249,4.40379593418698,2,13,15,300
"378","angles",74.3682310469314,4.1669431845893,0,6,11,300
"379","angry",90.2439024390244,3.95002567403972,1,1,8,300
"380","angst",92.8571428571429,4.38348336552631,8,0,10,300
"381","anguish",93.75,3.82287612980009,4,4,8,300
"382","animal",92.1232876712329,4.26847884475128,0,1,6,300
"383","animals",89.7959183673469,4.31603720784888,0,1,4,300
"384","animate",82.9710144927536,4.09707057186667,1,7,7,300
"385","animation",78.125,3.92127636522785,0,2,8,300
"386","anime",86.4541832669323,3.3737662498145,14,0,7,300
"387","ankle",91.1971830985916,3.56409614303667,2,1,8,300
"388","annihilate",87.9003558718861,3.86503535391263,4,2,3,300
"389","anniversary",94.0350877192982,3.81271356951793,3,1,4,300
"390","announce",90.8450704225352,4.54477747440589,0,3,10,300
"391","announcement",82.7338129496403,4.30808450454848,0,5,12,300
"392","annoy",92,4.49189668325149,3,4,8,300
"393","annoyance",80.9523809523809,4.78284618665474,1,7,10,300
"394","annoyed",85.8208955223881,4.10174099644524,0,8,16,300
"395","annoying",85.0533807829182,4.79152538813853,0,6,7,300
"396","annual",88.8501742160279,4.07655036060114,0,2,9,300
"397","annually",88.5304659498208,3.84988626542619,0,7,7,300
"398","anonymous",81.9230769230769,4.18399200182911,8,4,8,300
"399","anorexia",80.8080808080808,3.7385565928263,0,0,3,300
"400","another",90.5454545454545,4.00508337788491,2,3,13,300
"401","answer",96.8965517241379,3.58900763746078,0,2,6,300
"402","answers",76.8683274021352,3.8840398365363,1,5,6,300
"403","ant",92.4398625429553,4.0953858909973,0,3,3,300
"404","Antarctic",82.8671328671329,3.30536172491924,0,5,4,300
"405","anteater",93.5483870967742,3.85462452698819,9,8,9,300
"406","antecedent",80.5970149253731,3.73803184835966,26,3,15,300
"407","antelope",92.9824561403509,3.91584179871812,3,1,4,300
"408","antenna",74.9152542372881,3.85159029194978,1,0,2,300
"409","anterior",87.6146788990826,4.02418958186371,21,5,9,300
"410","anthem",91.3669064748201,3.60882152655462,3,1,11,300
"411","anthill",87.3015873015873,4.21387582091537,6,10,10,300
"412","anthropology",86.4661654135338,4.03565443828083,3,9,7,300
"413","anti",81.203007518797,3.9898778670147,2,9,10,300
"414","antibiotic",82.3943661971831,3.91197420453265,0,6,4,300
"415","antibiotics",81.4685314685315,4.12407199727762,0,3,8,300
"416","anticipate",86.6425992779783,4.45988470119263,1,5,10,300
"417","anticipation",89.5104895104895,4.12505850703522,1,3,5,300
"418","antidote",92.1232876712329,3.64564489432344,0,1,6,300
"419","antiquated",78.5992217898833,3.53845000301642,7,8,6,300
"420","antique",92.5170068027211,3.57232523738656,0,2,2,300
"421","antiques",85.3479853479853,3.75827645221387,1,6,12,300
"422","antiseptic",85.4671280276817,4.01396798761649,1,3,2,300
"423","antisocial",87.2262773722628,4.37624813270418,0,8,10,300
"424","antler",93.9068100358423,3.54555902188144,3,4,4,300
"425","antlers",95.0877192982456,3.42710138717478,3,1,4,300
"426","ants",87.1621621621622,4.39774711300703,0,1,2,300
"427","anus",78.3088235294118,3.62364846677957,1,9,7,300
"428","anvil",87.9120879120879,3.81017233528114,7,1,4,300
"429","anxiety",94.4055944055944,4.02690578190225,0,3,8,300
"430","anxious",88.3211678832117,3.87327210027806,3,1,15,300
"431","any",91.0714285714286,3.69971439875819,0,4,12,300
"432","anybody",91.970802919708,3.88832938410034,1,7,9,300
"433","anyone",89.2988929889299,3.93974276398366,2,6,11,300
"434","anything",91.4179104477612,3.89768198342864,4,3,14,300
"435","anytime",87.4551971326165,3.85178406119544,2,2,11,300
"436","anyway",73.8636363636364,4.42783472170962,5,6,9,300
"437","anywhere",85.1985559566787,3.77258192154632,0,5,13,300
"438","aorta",90.0398406374502,2.77191523697295,8,9,7,300
"439","apache",88.0733944954129,3.78314843483452,13,14,15,300
"440","apart",82.0422535211268,3.9336907970735,1,4,5,300
"441","apartheid",79.8507462686567,3.81385171602451,6,4,6,300
"442","apartment",91.7241379310345,4.02893203013921,1,1,5,300
"443","apartments",67.1480144404332,4.48115121939001,0,8,7,300
"444","apathetic",79.0123456790123,4.37997371085007,10,10,7,300
"445","apathy",77.0750988142292,4.85195895318138,11,2,10,300
"446","ape",93.1740614334471,3.6083207054777,0,2,3,300
"447","apes",68.9285714285714,3.76600989822137,0,6,8,300
"448","apex",94.0476190476191,3.4314649337969,8,5,14,300
"449","aphrodisiac",78.3088235294118,3.87533951927663,4,2,12,300
"450","apocalypse",76.3066202090592,4.13274115542467,1,3,4,300
"451","apologize",89.3382352941177,3.7820914449267,3,5,9,300
"452","apology",89.9641577060932,3.76718221938056,1,5,8,300
"453","apostle",72.2007722007722,3.80543227290902,6,7,9,300
"454","app",90.3571428571429,3.70300214281523,1,4,9,300
"455","apparel",92.7797833935018,3.66941501828927,4,3,5,300
"456","apparent",85.3932584269663,3.9106961660918,5,5,8,300
