"","cue","coverage","H","unknown","N"
"53","accompany",87.3684210526316,3.27888555637982,5,100
"54","accomplish",96.969696969697,3.06720304255722,1,100
"55","accomplished",85.5670103092783,3.83914821424137,3,100
"56","accomplishment",95.8762886597938,3.15686419960668,3,100
"57","accord",82.4175824175824,2.84919350762355,9,100
"58","accordion",89,3.21063252541533,0,100
"59","account",93,3.30698765376569,0,100
"60","accountant",91.8367346938776,2.98242487159934,2,100
"61","accounting",93.9393939393939,3.34677912560441,1,100
"62","accumulate",95,2.99859042259008,0,100
"63","accuracy",90.8163265306122,3.26768878993093,2,100
"64","accurate",98,2.67673081845128,0,100
"65","accusation",91.9191919191919,3.63702108139672,1,100
"66","accuse",88.8888888888889,3.6526757482379,1,100
"67","ace",89.7959183673469,3.17099389046271,2,100
"68","ache",100,2.45160351908839,2,100
"69","achieve",92,3.42605595827297,0,100
"70","achievement",95,3.26419186044632,0,100
"71","achiever",84.8484848484848,3.49503576064803,1,100
"72","aching",99,2.77882209351117,0,100
"73","acid",85,3.40913648919666,0,100
"74","acidic",83,3.45389283520941,0,100
"75","acknowledge",93.8775510204082,3.52710543735872,2,100
"76","acne",88.7755102040816,2.88387001985368,2,100
"77","acorn",96.969696969697,2.28098987940507,1,100
"78","acoustic",94.9494949494949,1.96670197066092,1,100
"79","acquaintance",91.7525773195876,1.58999850048702,3,100
"80","acquire",97.979797979798,2.45612146240265,1,100
"81","acre",86.8686868686869,2.79105825315344,1,100
"82","acrid",98.780487804878,2.90976922284897,18,100
"83","acrobat",90,3.15735449618144,0,100
"84","acrobatics",89.8989898989899,3.25663430838321,1,100
"85","acronym",70.9677419354839,3.50075877713173,7,100
"86","across",85.5670103092783,3.57359953156225,3,100
"87","act",93,3.02478972493628,0,100
"88","acting",90.9090909090909,3.62055876928649,1,100
"89","action",86.8686868686869,3.56451770691999,1,100
"90","actions",58.1632653061224,3.51295957653096,2,100
"91","activate",88.7755102040816,2.90282928982533,2,100
"92","active",92,3.63865136890222,0,100
"93","activist",76.7676767676768,4.02158503893987,1,100
"94","activity",93.8144329896907,3.79715173466442,3,100
"95","actor",83,3.43005408195839,0,100
"96","actors",71,3.6439948400539,0,100
"97","actress",83,3.37398696884574,0,100
"98","actual",97.9591836734694,1.62314329889688,2,100
"99","actually",83.8709677419355,3.07908066258801,7,100
"100","acute",98.9795918367347,2.87357872576706,2,100
"101","ad",89.5833333333333,3.61620777792916,4,100
"102","Adam",86.734693877551,1.2197145414162,2,100
"103","adapt",92.9292929292929,2.88111864036293,1,100
"104","add",96,2.48297973085314,0,100
"105","added",64.6464646464647,2.98597075200398,1,100
"106","addict",96.969696969697,2.47085820353372,1,100
"107","addicted",93,2.7329459990925,0,100
"108","addiction",92,2.92178875779415,0,100
"109","addictive",83,3.61937689320004,0,100
"110","addition",92.9292929292929,2.52958748499462,1,100
"111","additional",93.9393939393939,2.51158561170404,1,100
"112","additionally",92.8571428571429,2.58732599683168,2,100
"113","additive",79.5918367346939,3.6916297553289,2,100
"114","address",93,3.01459578272855,0,100
"115","adept",93.2584269662921,3.24836003688606,11,100
"116","adequate",95.8333333333333,2.64632988806129,4,100
"117","adhere",93.6170212765958,1.96552625329107,6,100
"118","adhesive",97.9591836734694,1.50281649614189,2,100
"119","adieu",88.4210526315789,1.55255592780072,5,100
"120","adjacent",94.8453608247423,2.4895474285332,3,100
"121","adjective",92.6315789473684,2.7979638293205,5,100
"122","adjourn",97.752808988764,3.12101351574796,11,100
"123","adjust",93.8144329896907,3.36943314334651,3,100
"124","adjustment",88.7755102040816,3.41212656715376,2,100
"125","administration",85,3.85715245595973,0,100
"126","administrator",84.6938775510204,3.58088292244333,2,100
"127","admirable",76.7676767676768,3.78127522437909,1,100
"128","admiral",90,2.93230024619773,0,100
"129","admiration",85.5670103092783,3.33066790289881,3,100
"130","admire",92.6315789473684,3.19075731040073,5,100
"131","admission",93.9393939393939,3.28549995345867,1,100
"132","admit",90.8163265306122,3.5109538067787,2,100
"133","adobe",86.8131868131868,3.16949186000843,9,100
"134","adolescence",95,2.76088063228641,0,100
"135","adolescent",94.8979591836735,2.64773836181798,2,100
"136","adopt",90,2.67542825619482,0,100
"137","adoption",92,3.04188602583972,0,100
"138","adorable",96.969696969697,1.91793944092002,1,100
"139","adoration",89,2.27658165863413,0,100
"140","adore",97,1.33698435534981,0,100
"141","adored",91,2.00350738282519,0,100
"142","adorn",94.5054945054945,3.24203814990505,9,100
"143","adornment",86.5168539325843,2.95807268869331,11,100
"144","adrenal",31.3253012048193,1.7477662636415,17,100
"145","adrenaline",87,2.91776539388481,0,100
"146","ads",72,3.53072460672568,0,100
"147","adult",92,3.31459880791802,0,100
"148","adultery",91.9191919191919,3.23701229494978,1,100
"149","adults",80,3.21297129268158,0,100
"150","advance",91.8367346938776,3.26318959113663,2,100
"151","advanced",90.8163265306122,3.99332575796401,2,100
"152","advancement",92,3.28657427651703,0,100
"153","advantage",93.6842105263158,3.77825422553439,5,100
"154","adventure",94.9494949494949,3.74177757735662,1,100
"155","adventurer",83,3.78191178798864,0,100
"156","adventurous",85.8585858585859,3.93815429480773,1,100
"157","adverb",91,3.0367788746591,0,100
"158","adversary",96.7032967032967,2.07731231286185,9,100
"159","adversity",91.6666666666667,3.43868017474071,4,100
"160","advert",90.3225806451613,3.07266386161725,7,100
"161","advertise",90,3.5873376868816,0,100
"162","advertisement",87,3.87953487203044,0,100
"163","advertising",81.8181818181818,3.81389722124539,1,100
"164","advice",92.9292929292929,3.80271068938878,1,100
"165","Advil",79.746835443038,2.57959100312751,21,100
"166","advise",95.959595959596,3.48477381299358,1,100
"167","advisor",81.6326530612245,3.45162995315743,2,100
"168","advocate",91.8367346938776,3.51305285051081,2,100
"169","aerobics",93.9393939393939,2.78337464148614,1,100
"170","aerosol",89.7959183673469,1.87100382224956,2,100
"171","aesthetics",87.6288659793814,2.80917279603055,3,100
"172","afar",89.5833333333333,2.91156257618727,4,100
"173","a few",80.8080808080808,2.89936743348525,1,100
"174","affair",93.8775510204082,3.40691004922031,2,100
"175","affairs",80.2083333333333,3.71569278202353,4,100
"176","affect",95.7894736842105,2.99799551042053,5,100
"177","affection",98.989898989899,1.47674917479946,1,100
"178","affectionate",96.969696969697,2.75257951138943,1,100
"179","affirm",83.5164835164835,3.52819213034452,9,100
"180","affirmative",93,2.32777041172815,0,100
"181","affluent",94.1860465116279,1.89371766618562,14,100
"182","afford",93,3.00133855589632,0,100
"183","affordable",90,2.46187343418905,0,100
"184","afraid",98,1.98150381280859,0,100
"185","Africa",86.8686868686869,3.14486506805813,1,100
"186","African",88.8888888888889,3.23633461160903,1,100
"187","after",95,2.67862565900353,0,100
"188","afternoon",91.9191919191919,3.24198050908648,1,100
"189","aftershave",95.959595959596,3.28162258672106,1,100
"190","afterwards",90.7216494845361,2.49747269110001,3,100
"191","again",89.7959183673469,3.07979773309415,2,100
"192","against",93,3.20545870710605,0,100
"193","age",87,3.43005408195839,0,100
"194","aged",98.989898989899,1.8391056304717,1,100
"195","ageless",92.7083333333333,3.00120103207558,4,100
"196","agency",91,3.89283561036507,0,100
"197","agenda",95.9183673469388,3.42819766637468,2,100
"198","agent",88,3.50826082386894,0,100
"199","ages",61.6161616161616,3.55968698963034,1,100
"200","aggravate",88.5416666666667,3.02509283959496,4,100
"201","aggression",97.979797979798,2.95927088701226,1,100
"202","aggressive",96,3.58556627889605,0,100
"203","aghast",80,2.83721785277861,10,100
"204","agile",90.9090909090909,3.38433208445145,1,100
"205","agility",86.5979381443299,3.45331057229568,3,100
"206","aging",93,2.45871753918836,0,100
"207","agitate",93.8775510204082,3.12433883430488,2,100
"208","agitated",87,3.05791872777805,0,100
"209","agnostic",73.9583333333333,3.54002622435996,4,100
"210","ago",92,2.10518214269344,0,100
"211","agony",98.9795918367347,1.58456818821242,2,100
"212","agree",84,2.95325839407026,0,100
"213","agreeable",76.7676767676768,3.24376594747444,1,100
"214","agreed",80,3.6143200779509,0,100
"215","agreement",86.8686868686869,3.52100781707967,1,100
"216","agriculture",95,2.44610263989626,0,100
"217","ahead",88,3.02263534966709,0,100
"218","ahoy",91.6666666666667,2.81123206112088,4,100
"219","aid",97,1.75104726986801,0,100
"220","aide",87.3563218390805,2.52686779828795,13,100
"221","aids",83,2.74475816996915,0,100
"222","ailment",95.6521739130435,2.08814117766162,8,100
"223","aim",94.9494949494949,2.71655127029145,1,100
"224","aimless",76,3.34490130694741,0,100
"225","air",98,2.95093363837744,0,100
"226","air conditioning",87,2.55706949277411,0,100
"227","aircraft",96.969696969697,2.12539422817025,1,100
"228","air force",85.8585858585859,3.21374416654585,1,100
"229","airhead",84.375,3.3381494496094,4,100
"230","airless",85.7142857142857,3.15601837453016,2,100
"231","airline",89,2.79216453119824,0,100
"232","airplane",91,3.27088668980234,0,100
"233","airport",90.9090909090909,3.05158091713135,1,100
"234","airship",77.8947368421053,3.1224087864034,5,100
"235","airy",90.5263157894737,3.03320878907737,5,100
"236","aisle",95.7894736842105,3.09304422423023,5,100
"237","alarm",96,3.11515710592673,0,100
"238","alas",58.2417582417582,3.62016007067889,9,100
"239","Alaska",89,2.71606904738877,0,100
"240","Albert",90,2.12219800289037,0,100
"241","album",96,2.44666888042637,0,100
"242","alchemy",85.4166666666667,2.7369906354938,4,100
"243","alcohol",94,2.98816235487276,0,100
"244","alcoholic",88.8888888888889,3.39520429593766,1,100
"245","alcoholism",89.8989898989899,3.20674939215795,1,100
"246","ale",97.9166666666667,1.30277301882844,4,100
"247","alert",95,2.80537893452373,0,100
"248","algae",88.7755102040816,2.7309362081767,2,100
"249","algebra",95,2.1899100784846,0,100
"250","algorithm",93.8144329896907,2.13196348811976,3,100
"251","alibi",93.6842105263158,2.89373966508694,5,100
"252","alien",81.8181818181818,3.35391506915058,1,100
"253","aliens",73,3.25626804017286,0,100
"254","align",88.659793814433,3.29596901090138,3,100
"255","alike",94.8979591836735,2.35455981685341,2,100
"256","a little",78.7878787878788,2.50203767132371,1,100
"257","alive",91.8367346938776,2.90197923990533,2,100
"258","all",90,3.00931540429306,0,100
"259","allegiance",94.7916666666667,3.14490698448975,4,100
"260","allergic",88,3.55214616110235,0,100
"261","allergies",85.8585858585859,3.25851650838299,1,100
"262","allergy",81,3.28295207035579,0,100
"263","alley",90.9090909090909,2.77295633813797,1,100
"264","alliance",94.8979591836735,3.7101626239315,2,100
"265","alligator",95.959595959596,2.00154918597641,1,100
"266","allow",97,2.34237253678843,0,100
"267","allowance",90,1.66325963849535,0,100
"268","allowed",88.8888888888889,2.98057773618961,1,100
"269","alloy",91.2087912087912,1.96066083068051,9,100
"270","allspice",88.75,3.45888163153506,20,100
"271","allure",91.304347826087,3.50872772042789,8,100
"272","ally",93.8775510204082,2.16899743500179,2,100
"273","almanac",84.5360824742268,3.18749375715803,3,100
"274","almighty",95,1.38176950697244,0,100
"275","almond",92.9292929292929,2.59767130435208,1,100
"276","almonds",91,2.36564664389844,0,100
"277","almost",91,1.97271130839194,0,100
"278","aloe",41.0526315789474,1.70743390964299,5,100
"279","alone",96.9387755102041,2.98836323688868,2,100
"280","along",96.9387755102041,2.90595309812431,2,100
"281","alongside",93.9393939393939,2.59519358005148,1,100
"282","aloof",85.7142857142857,3.86326542540725,9,100
"283","alot",82.5,3.17844059044613,20,100
"284","a lot",92,2.47337617764999,0,100
"285","aloud",82.4742268041237,3.6069780302052,3,100
"286","alpha",97.979797979798,2.07791087999387,1,100
"287","alphabet",90.8163265306122,2.37711182245069,2,100
"288","Alpine",88.659793814433,2.82257574943911,3,100
"289","Alps",83.6734693877551,1.98413969386628,2,100
"290","already",92.7835051546392,2.83014794967695,3,100
"291","alright",93,2.23072997796619,0,100
"292","also",91.7525773195876,2.22492612840862,3,100
"293","altar",95.959595959596,2.70777443784066,1,100
"294","alter",95.9183673469388,2.23833454367544,2,100
"295","alteration",88.659793814433,2.40531769035755,3,100
"296","alternate",92.9292929292929,3.15784940239671,1,100
"297","alternative",92.9292929292929,3.19275383486083,1,100
"298","alternatively",84.7826086956522,3.19362981225308,8,100
"299","although",93.6842105263158,3.29682140318447,5,100
"300","altitude",93.9393939393939,2.11030904963436,1,100
"301","alto",93.2584269662921,2.78570826889726,11,100
"302","altruism",82.2222222222222,3.76974094607298,10,100
"303","altruistic",83.3333333333333,3.39081771881351,10,100
"304","aluminum",96,2.87639614445063,0,100
"305","alumni",91.9191919191919,2.70369603705954,1,100
"306","Alvin",62.6373626373626,1.90703298814689,9,100
"307","always",89,2.34608869863982,0,100
"308","am",65,2.64652278919146,0,100
"309","amass",96.6666666666667,2.71042588232823,10,100
"310","amateur",80,3.75338395014881,0,100
"311","amaze",94.8979591836735,3.20625798588032,2,100
"312","amazement",90.8163265306122,3.12390340189677,2,100
"313","amazing",95.959595959596,3.41770166888166,1,100
"314","Amazon",84,3.09125870820802,0,100
"315","ambassador",79,3.59491897729971,0,100
"316","amber",88,3.61597891246414,0,100
"317","ambiance",95.7446808510638,3.07392591227411,6,100
"318","ambient",90.4255319148936,3.45785314239526,6,100
"319","ambiguous",87.7777777777778,3.32348741106905,10,100
"320","ambition",97.979797979798,3.63311494830923,1,100
"321","ambitious",82.8282828282828,4.11188039061929,1,100
"322","amble",82.5,2.2784213363915,20,100
"323","ambulance",87.8787878787879,3.16253873712195,1,100
"324","ambush",87,3.55339706316377,0,100
"325","amen",91,2.68634403602097,0,100
"326","amend",87.7551020408163,2.77782973782352,2,100
"327","America",66.6666666666667,3.19305860069934,1,100
"328","American",90,3.93084740980942,0,100
"329","Americans",81.8181818181818,3.85971475959341,1,100
"330","amiable",87.6404494382023,2.20311714378838,11,100
"331","amid",88.0434782608696,2.87818416510023,8,100
"332","amino acid",85.7142857142857,3.11256786250977,2,100
"333","ammo",94.6808510638298,1.76970521915674,6,100
"334","ammunition",85,2.39345463618171,0,100
"335","amoeba",83.1578947368421,3.36198604959137,5,100
"336","amok",87.0967741935484,3.06114164144126,7,100
"337","among",91.7525773195876,2.69539186955094,3,100
"338","amongst",92.9292929292929,2.95674897402996,1,100
"339","amorphous",63.013698630137,3.71572340040943,27,100
"340","amount",95,2.76775915007825,0,100
"341","amp",89.5348837209302,3.20868775638067,14,100
"342","amphibian",96.875,1.77761728648989,4,100
"343","ample",96.875,3.03256999957423,4,100
"344","amplifier",85,2.82450323687062,0,100
"345","amplify",69.3877551020408,2.86895695580336,2,100
"346","amuse",89,2.76705607559521,0,100
"347","amusement",97,1.96592007483878,0,100
"348","amusing",95,1.89596789349143,0,100
"349","an",93.4782608695652,2.96903181291571,8,100
"350","anagram",78.7234042553192,3.14786857365515,6,100
"351","anal",75.5102040816327,3.13611468347728,2,100
"352","analog",88.7755102040816,2.28919774285695,2,100
"353","analogy",86.1702127659574,3.05928611133397,6,100
"354","analysis",89.8989898989899,3.73331168495116,1,100
"355","analyst",92.8571428571429,3.7321953983206,2,100
"356","analytical",92.9292929292929,3.81341268160003,1,100
"357","analyze",93.9393939393939,3.67152991714172,1,100
"358","anarchist",74.7474747474748,3.75369472619773,1,100
"359","anarchy",87.6288659793814,3.29013031702639,3,100
"360","anatomy",90.9090909090909,2.48896043798085,1,100
"361","ancestor",86.8686868686869,3.36388995206745,1,100
"362","ancestors",77,3.52994988100759,0,100
"363","ancestry",85,3.26187659091112,0,100
"364","anchor",96,2.60471814940413,0,100
"365","ancient",91.9191919191919,1.52148146635985,1,100
"366","and",94,2.75125115947381,0,100
"367","android",96,1.91830982873057,0,100
"368","anecdote",93.6170212765958,2.17141724412027,6,100
"369","anemia",87.3684210526316,2.87147459997025,5,100
"370","anew",82.0224719101124,3.04870519942487,11,100
"371","angel",90.9090909090909,3.33605306885348,1,100
"372","angelic",88.8888888888889,3.17630159553559,1,100
"373","angels",77,2.92822299050833,0,100
"374","anger",94.8979591836735,2.72753939462399,2,100
"375","angle",95,3.1912370182849,0,100
"376","angled",74.4897959183673,3.74333318831671,2,100
"377","angles",71,3.33012654288165,0,100
"378","angry",92.9292929292929,2.59023269592123,1,100
"379","angst",96.7391304347826,3.34164383264291,8,100
"380","anguish",97.9166666666667,2.82609621301567,4,100
"381","animal",93,3.61826223069974,0,100
"382","animals",91,3.68207470043755,0,100
"383","animate",86.8686868686869,3.00907780016595,1,100
"384","animation",84,2.60125812007334,0,100
"385","anime",88.3720930232558,2.37948089938627,14,100
"386","ankle",92.8571428571429,2.76818231494317,2,100
"387","annihilate",93.75,2.26047849781878,4,100
"388","anniversary",97.9381443298969,2.70057295742918,3,100
"389","announce",93,3.58785085091869,0,100
"390","announcement",82,3.68390920113929,0,100
"391","annoy",94.8453608247423,3.42405407684306,3,100
"392","annoyance",82.8282828282828,4.01042727343313,1,100
"393","annoyed",86,3.3304990942767,0,100
"394","annoying",88,4.02352679899392,0,100
"395","annual",95,1.78548538725661,0,100
"396","annually",94,1.83245429903867,0,100
"397","anonymous",80.4347826086957,3.4334376975386,8,100
"398","anorexia",80,2.58045558163108,0,100
"399","another",91.8367346938776,3.2817238180545,2,100
"400","answer",99,2.09593339819267,0,100
"401","answers",80.8080808080808,2.2311888259053,1,100
"402","ant",95,2.83581098640329,0,100
"403","Antarctic",91,2.33644430041438,0,100
"404","anteater",93.4065934065934,3.19131510058761,9,100
"405","antecedent",85.1351351351351,2.88648718978866,26,100
"406","antelope",97.9381443298969,2.84790134896515,3,100
"407","antenna",69.6969696969697,3.03414437356151,1,100
"408","anterior",91.1392405063291,3.00475927343198,21,100
"409","anthem",94.8453608247423,2.23287230373183,3,100
"410","anthill",87.2340425531915,3.38841846617605,6,100
"411","anthropology",84.5360824742268,3.46555849846102,3,100
"412","anti",84.6938775510204,2.54083618184601,2,100
"413","antibiotic",86,3.03060232959468,0,100
"414","antibiotics",88,2.914808864431,0,100
"415","anticipate",87.8787878787879,3.75752147089086,1,100
"416","anticipation",90.9090909090909,3.23945357769701,1,100
"417","antidote",97,2.58338207331762,0,100
"418","antiquated",87.0967741935484,1.36916678783377,7,100
"419","antique",95,1.35107406749446,0,100
"420","antiques",81.8181818181818,2.19228366795165,1,100
"421","antiseptic",88.8888888888889,3.11766323150224,1,100
"422","antisocial",89,3.70007573647293,0,100
"423","antler",94.8453608247423,1.75570220279867,3,100
"424","antlers",97.9381443298969,1.45993103509092,3,100
"425","ants",90,3.47845120725266,0,100
"426","anus",78.7878787878788,2.71794968380745,1,100
"427","anvil",88.1720430107527,2.5576734095044,7,100
"428","anxiety",96,2.86443319228602,0,100
"429","anxious",95.8762886597938,2.51686388342471,3,100
"430","any",93,2.78141430778533,0,100
"431","anybody",95.959595959596,3.08871525208463,1,100
"432","anyone",92.8571428571429,3.08457297304071,2,100
"433","anything",94.7916666666667,2.94950022910363,4,100
"434","anytime",90.8163265306122,2.53692698123361,2,100
"435","anyway",75.7894736842105,3.73732468365217,5,100
"436","anywhere",85,3.02692486923359,0,100
"437","apache",95.4022988505747,2.20997009217738,13,100
"438","apart",92.9292929292929,2.85710321385766,1,100
"439","apartheid",89.3617021276596,2.76515890187178,6,100
"440","apartment",93.9393939393939,3.08011022974002,1,100
"441","apartments",61,3.57188238593819,0,100
"442","apathetic",85.5555555555556,3.49720454760439,10,100
"443","apathy",78.6516853932584,4.02614304135427,11,100
"444","ape",98,2.52598524422394,0,100
"445","apes",78,2.61821186203777,0,100
"446","apex",95.6521739130435,2.48244540904207,8,100
"447","aphrodisiac",77.0833333333333,2.46907115303169,4,100
"448","apocalypse",78.7878787878788,2.89654265769291,1,100
"449","apologize",92.7835051546392,1.90616244835687,3,100
"450","apology",96.969696969697,1.6209407967155,1,100
"451","apostle",75.531914893617,3.05374151677596,6,100
"452","app",92.9292929292929,2.57735646860623,1,100
"453","apparel",96.875,1.6998186963888,4,100
"454","apparent",88.4210526315789,2.69640194540965,5,100
"455","apparition",95.7446808510638,1.4080362408547,6,100
"456","appeal",94.8453608247423,3.39244638175898,3,100
"457","appealing",86.8686868686869,3.24992892601255,1,100
"458","appear",93.9393939393939,2.96882674928788,1,100
"459","appearance",94.7368421052632,3.26616968561972,5,100
"460","appendage",92.2222222222222,2.57321404365565,10,100
"461","appendix",84.8484848484848,3.56409225841206,1,100
"462","appetite",96,2.02603363117883,0,100
"463","appetizer",77.319587628866,3.19793281001209,3,100
"464","applaud",96.9072164948454,1.60325504228994,3,100
"465","applause",91,2.6110559792091,0,100
"466","apple",94,2.9292266632946,0,100
"467","apple juice",95.959595959596,3.62613822993968,1,100
"468","apple pie",98,3.4679442884605,0,100
"469","apples",89,2.06215740823556,0,100
"470","applesauce",85.5670103092783,3.70263821463668,3,100
"471","appliance",96.9072164948454,3.20613735787247,3,100
"472","application",93,3.12865983113175,0,100
"473","apply",90.8163265306122,3.61175292511124,2,100
"474","appoint",91,3.74597788640257,0,100
"475","appointment",87.8787878787879,2.86690149845374,1,100
"476","appraisal",95.5056179775281,3.70634990120737,11,100
"477","appraise",87.9120879120879,3.43956597426386,9,100
"478","appreciate",92.8571428571429,3.10503654761634,2,100
"479","appreciation",92.9292929292929,3.32013688792061,1,100
"480","apprehend",96.875,2.76613485057766,4,100
"481","apprehension",91.3978494623656,3.06734940885351,7,100
"482","apprehensive",95.959595959596,2.94238774216322,1,100
"483","apprentice",87.8787878787879,3.75414934369359,1,100
"484","approach",84,3.41725026942755,0,100
"485","appropriate",94,3.20332270763338,0,100
"486","approval",89.8989898989899,3.80684219992042,1,100
"487","approve",97.9381443298969,3.2484735497109,3,100
"488","approximate",93.9393939393939,2.93765958116396,1,100
"489","approximately",89.7959183673469,2.68601926124975,2,100
"490","approximation",85.5670103092783,2.81903014505056,3,100
"491","apricot",94.9494949494949,2.47717221413964,1,100
"492","April",94,2.52271239667626,0,100
"493","apron",86.734693877551,3.12265202997087,2,100
"494","apt",91.4893617021277,3.2280729388153,6,100
"495","aptitude",96.8421052631579,2.51129763915305,5,100
"496","aqua",96,1.38108576739763,0,100
"497","aquarium",93,1.23447621306631,0,100
"498","Arab",75,3.63110361792937,0,100
"499","Arabic",81,2.85235953211854,0,100
"500","arachnid",98.9473684210526,0.636102037886453,5,100
"501","arc",72.4489795918367,3.45585249644741,2,100
"502","arcade",94,2.23775470713938,0,100
"503","arch",84.6938775510204,3.76598968364057,2,100
"504","archaic",97.8947368421053,1.30222082467493,5,100
"505","archeology",86,3.18515343544494,0,100
"506","archery",93.9393939393939,2.21303818266167,1,100
"507","architect",90.8163265306122,3.23348970642702,2,100
"508","architecture",91.9191919191919,2.39747579298882,1,100
"509","archive",95.9183673469388,3.22367881721421,2,100
"510","arctic",94.9494949494949,2.58971203680975,1,100
"511","arduous",98.8505747126437,2.05397330232195,13,100
"512","are",97.8947368421053,2.65760876594507,5,100
"513","area",92.9292929292929,3.61779650328292,1,100
"514","arena",85,3.32808336859858,0,100
"515","argue",97,2.77743874903196,0,100
"516","argument",91,3.16774348198419,0,100
"517","argumentative",71,4.05946195436702,0,100
"518","arid",97.8494623655914,1.06960602728646,7,100
"519","Aries",81.4432989690722,3.07483193526005,3,100
"520","aright",87.0967741935484,3.13833229581953,38,100
"521","arise",83.5051546391753,3.524616514076,3,100
"522","aristocracy",74.7368421052632,3.85111021219599,5,100
"523","aristocrat",87.3684210526316,3.52812905051229,5,100
"524","aristocratic",81.4432989690722,3.46892506886658,3,100
"525","arithmetic",97.9591836734694,1.56370120291993,2,100
"526","Arizona",82,3.09265424115541,0,100
"527","arm",94.9494949494949,2.32604145933633,1,100
"528","armada",87.2340425531915,2.7899774167702,6,100
"529","armchair",91.9191919191919,3.5867114698251,1,100
"530","armed",91,2.76644722710781,0,100
"531","armed forces",90,2.47122106480837,0,100
"532","armor",87,3.23099134841676,0,100
"533","armpit",94,2.83235498644231,0,100
"534","arms",88.659793814433,3.14125081085492,3,100
"535","army",90.9090909090909,3.11036538420696,1,100
"536","aroma",99,1.62825150682739,0,100
"537","aromatic",88.7755102040816,2.9671694666876,2,100
"538","around",87.7551020408163,3.02700704325387,2,100
"539","arousal",95.8762886597938,2.57052758827924,3,100
"540","arouse",88.8888888888889,3.04346958632592,1,100
"541","arrange",94.8979591836735,3.14035905673026,2,100
"542","arrangement",95.9183673469388,3.17641225920098,2,100
"543","array",89.4736842105263,4.00281913770192,5,100
"544","arrest",95,3.09002510735857,0,100
"545","arrested",88,2.83218988199767,0,100
"546","arrival",95,3.38771453620832,0,100
"547","arrive",93.8775510204082,3.37345200971015,2,100
"548","arriving",82,3.49960073876738,0,100
"549","arrogance",85.2631578947368,3.8988569100534,5,100
"550","arrogant",90.9090909090909,3.8847622318229,1,100
"551","arrow",94.9494949494949,2.94595177121517,1,100
"552","arrows",68.6868686868687,2.90467593616677,1,100
"553","arsenic",85.4166666666667,1.49245051769435,4,100
"554","art",92,3.52347857393297,0,100
"555","artery",91.5789473684211,1.87506867177061,5,100
"556","arthritis",92.7835051546392,2.60521094036598,3,100
"557","Arthur",80.2083333333333,2.23715532416787,4,100
"558","article",95,2.87809585590877,0,100
"559","articulate",88.7755102040816,3.13356572414936,2,100
"560","artifact",82,3.18428217010119,0,100
"561","artificial",95,2.29903769188794,0,100
"562","artillery",85.8585858585859,2.76984845218941,1,100
"563","artisan",88.659793814433,3.1523361335554,3,100
