src,tgt,wt
abandon,forsake,100
abandon,leave,99
abandon,relinquish,26
abandon,default,15
abandon,discard,41
abandon,disown,100
abandon,renounce,100
abandon,dispose,4
abandon,evacuate,60
abandon,give up,39
abandon,quit,21
abandon,let go,71
desert,arid,80
desert,sand,91
desert,barren,100
desert,dry,60
desert,oasis,100
desert,wasteland,85
desert,hot,56
desert,arab,85
desert,arabic,20
desert,arizona,100
desert,cactus,100
desert,camel,100
desert,coyote,100
desert,parched,15
desert,dromedary,100
desert,drought,4
desert,dune,79
desert,las vegas,15
desert,mirage,75
desert,ostrich,36
desert,sahara,100
desert,sandy,30
desert,scorpion,4
desert,stranded,55
desert,western,16
leave,depart,100
leave,go,40
leave,exclude,4
leave,quit,100
leave,exit,100
leave,vacate,100
leave,goodbye,76
leave,resign,80
leave,farewell,23
leave,come,7
leave,escape,79
leave,away,100
leave,bye,16
leave,departure,96
leave,take away,4
leave,disappear,22
leave,runaway,60
leave,evacuate,99
leave,exodus,8
leave,out,95
leave,go away,100
leave,going,4
leave,kick out,24
leave,move on,70
leave,off,5
leave,resignation,4
leave,retreat,15
leave,retire,20
leave,withdraw,30
leave,run away,6
leave,take off,55
leave,turn away,60
leave,vacancy,15
abbey,church,100
abbey,monastery,100
abbey,cathedral,90
abbey,prayer,4
abbey,religion,6
abbey,monk,2
abbey,cloister,15
abbey,convent,81
abbey,nunnery,43
church,building,75
church,cathedral,100
church,pew,100
church,religion,84
church,prayer,4
church,community,59
church,worship,20
church,sermon,15
church,steeple,100
church,confess,4
church,altar,85
church,holy,20
church,baptism,20
church,baptist,79
church,christian,79
church,baptize,2
church,bell,58
church,bishop,5
church,temple,20
church,mass,2
church,canon,99
church,catholic,24
church,catholicism,21
church,christianity,41
church,hymn,70
church,chapel,100
church,choir,4
church,clergy,96
church,minister,12
church,priest,100
church,cleric,75
church,monastery,96
church,communion,80
church,convent,59
church,friar,76
church,gospel,56
church,methodist,100
church,pastor,100
church,missionary,15
church,mormon,25
church,orthodox,5
church,parish,100
church,pentecostal,84
church,preacher,15
church,protestant,15
church,sanctuary,59
church,reverend,2
church,sabbath,75
church,sunday,100
church,saint,98
church,vicar,95
abbreviation,acronym,100
abbreviation,short,100
abbreviation,concise,5
abbreviation,writing,4
abbreviation,initial,15
abbreviation,d,35
abbreviation,k,95
abbreviation,la,15
abbreviation,p,16
acronym,short,99
short,brief,55
short,concise,55
short,pant,45
short,clothing,44
short,abrupt,4
short,abridged,28
short,leg,22
short,summer,22
short,haircut,21
short,boxer,87
short,brevity,92
short,length,3
short,dwarf,2
short,haiku,94
short,minute,35
short,lengthy,2
short,memo,15
short,midget,25
short,nick,20
short,stunted,8
abdicate,resign,45
abdicate,throne,60
abdicate,give up,4
abdicate,relinquish,40
abdicate,surrender,25
abdicate,crown,55
abdicate,cede,15
abdicate,king,55
resign,quit,100
resign,depart,6
resign,retire,15
resign,withdraw,4
resign,job,55
resign,renounce,4
throne,chair,21
throne,crown,78
throne,king,47
throne,monarch,55
throne,royalty,75
throne,palace,15
throne,power,60
throne,rule,4
throne,regal,15
throne,emperor,23
throne,empire,15
throne,dynasty,21
throne,royal,94
throne,heir,59
throne,monarchy,65
throne,kingly,4
throne,usurper,55
abduct,alien,19
abduct,kidnap,100
abduct,seize,20
abduct,steal,56
abduct,take,60
abduct,ufo,15
abduct,crime,4
abduct,capture,21
abduct,force,5
abduct,abduction,15
abduct,kidnapping,70
abduct,hijack,4
abduct,kidnapper,39
alien,extraterrestrial,100
alien,foreign,79
alien,invasion,28
alien,space,33
alien,spacecraft,3
alien,spaceship,19
alien,ufo,100
alien,strange,10
alien,unknown,16
alien,abduction,39
alien,science,13
alien,science fiction,3
alien,unfamiliar,55
alien,outsider,55
alien,immigration,17
alien,foreigner,25
alien,immigrant,59
alien,invader,5
alien,mar,55
alien,stranger,4
alien,xenophobia,21
kidnap,capture,56
kidnap,crime,39
kidnap,hostage,64
kidnap,ransom,24
kidnap,steal,61
kidnap,abduction,75
kidnap,hijack,55
abduction,kidnapping,24
abduction,steal,56
abduction,hostage,24
abduction,take,55
abduction,taken,15
abduction,crime,4
abduction,ufo,20
kidnapping,crime,100
kidnapping,hostage,75
kidnapping,ransom,76
kidnapping,arrest,5
kidnapping,steal,20
kidnapping,jail,15
kidnapping,prison,4
abel,bible,85
abel,biblical,15
abel,name,24
abel,cain,21
abel,creation,59
abel,faith,55
abel,patriarch,16
abel,son,4
bible,scripture,100
bible,holy,25
bible,religion,71
bible,religious,28
bible,faith,16
bible,text,4
bible,adam,83
bible,apostle,20
bible,christian,24
bible,cain,84
bible,christianity,84
bible,christ,16
bible,jesus,21
bible,david,39
bible,gospel,21
bible,isaac,84
bible,pastor,15
bible,moses,96
bible,preacher,15
bible,psalm,80
bible,torah,80
biblical,genesis,55
biblical,religious,45
biblical,scripture,80
biblical,scriptural,20
biblical,sacred,4
biblical,theological,16
biblical,text,20
biblical,holy,4
biblical,adam,15
biblical,david,2
biblical,isaac,16
biblical,john,4
biblical,joseph,74
biblical,moses,4
biblical,seven,4
name,identify,55
name,identity,45
name,title,100
name,call,84
name,label,95
name,adam,99
name,albert,44
name,designate,2
name,ram,4
name,arthur,70
name,signature,5
name,billy,30
name,bob,30
name,robert,99
name,david,76
name,dolly,20
name,edison,20
name,identification,78
name,mark,29
name,frank,15
name,george,80
name,heather,100
name,id,59
name,isaac,35
name,jack,84
name,james,99
name,john,100
name,nickname,20
name,joseph,100
name,sue,55
name,lee,61
name,leo,5
name,lincoln,4
name,m,15
name,mary,100
name,moniker,100
name,moore,35
name,nick,100
name,noel,55
name,surname,99
name,tom,26
abhor,detest,100
abhor,hate,80
abhor,loathe,76
abhor,despise,100
abhor,dislike,5
abhor,hatred,15
detest,dislike,98
detest,hate,77
detest,loathe,80
detest,despise,5
detest,hatred,15
hate,despise,96
hate,dislike,92
hate,loathe,79
hate,anger,20
hate,racism,80
hate,racist,25
hate,homophobic,21
hate,loathing,15
abide,comply,100
abide,obey,30
abide,endure,70
abide,tolerate,71
abide,conform,5
abide,follow,24
abide,stay,79
comply,adhere,100
comply,obey,99
comply,conform,99
comply,follow,92
comply,submit,20
comply,agree,4
comply,concur,25
comply,agreed,4
comply,enforce,20
comply,submission,70
comply,respond,4
obey,follow,80
obey,listen,95
obey,heed,57
obey,submit,24
obey,conform,64
obey,submission,55
ability,skill,100
ability,talent,100
ability,capability,36
ability,capacity,99
ability,experience,55
ability,powerful,4
ability,aptitude,100
ability,power,43
ability,competence,100
ability,might,40
ability,strength,15
ability,feat,4
ability,potential,100
skill,talent,100
skill,expertise,98
skill,proficiency,40
skill,dexterity,32
skill,aptitude,100
skill,craft,51
skill,craftsman,15
skill,power,32
skill,capability,100
skill,woodworker,20
skill,performance,4
skill,competence,44
skill,feat,46
skill,fencing,57
skill,finesse,100
skill,hone,55
skill,inadequate,4
skill,juggle,5
skill,juggler,4
skill,mastery,100
skill,practice,17
skill,specialty,75
skill,tact,20
skill,technique,81
skill,tradesman,59
skill,typing,4
talent,aptitude,100
talent,expertise,26
talent,gift,76
talent,ace,21
talent,performer,19
talent,singer,3
talent,artistic,4
talent,power,4
talent,genius,25
talent,brilliant,15
talent,capability,5
talent,singing,59
talent,performance,25
talent,competence,55
talent,gifted,55
talent,pianist,20
talent,potential,15
talent,specialty,56
talent,superstar,15
able,capable,100
able,competent,100
able,skilled,29
able,qualified,71
able,cain,20
able,possible,2
able,willing,15
capable,competent,100
capable,skilled,100
capable,powerful,95
capable,intelligent,25
capable,brainy,4
capable,productive,20
capable,qualified,4
capable,effective,24
capable,efficiency,15
capable,efficient,35
capable,talented,55
capable,proficient,6
capable,resourceful,79
capable,stronger,15
abnormal,irregular,100
abnormal,unusual,100
abnormal,strange,26
abnormal,deviant,80
abnormal,deviation,75
abnormal,misfit,15
abnormal,mutant,19
abnormal,oddity,4
abnormal,perverse,20
abnormal,sociopath,15
abnormal,unnatural,82
irregular,uneven,100
irregular,inconsistent,96
irregular,unbalanced,96
irregular,unpredictable,79
irregular,erratic,92
irregular,illogical,4
irregular,crooked,71
irregular,deviant,5
irregular,deviation,75
irregular,odd,55
irregular,errant,8
irregular,lumpy,64
irregular,spotty,8
unusual,rare,99
unusual,strange,100
unusual,unique,100
unusual,different,56
unusual,peculiar,24
unusual,extraordinary,15
unusual,quirky,44
unusual,bizarre,40
unusual,exception,99
unusual,eccentric,98
unusual,weird,100
unusual,deviant,24
unusual,unlike,5
unusual,not,20
unusual,odd,45
unusual,otherwise,55
unusual,exotic,96
unusual,kink,21
unusual,freak,100
unusual,grotesque,19
unusual,random,20
unusual,uncommon,100
unusual,rarely,39
unusual,kinky,43
unusual,misfit,21
unusual,mutant,16
unusual,novelty,75
unusual,oddity,71
unusual,quaint,16
unusual,queer,45
unusual,rarity,4
unusual,unfamiliar,15
unusual,uncanny,77
unusual,unnatural,56
unusual,weirdo,55
abode,home,100
abode,dwelling,100
abode,residence,100
abode,living,25
abode,dwell,78
abode,reside,55
abode,housing,20
home,family,100
home,house,96
home,residence,30
home,comfort,94
home,shelter,77
home,decoration,20
home,foster,4
home,adoption,15
home,living,21
home,porch,15
home,wall,2
home,birdhouse,74
home,nest,96
home,bungalow,15
home,cottage,30
home,carpet,21
home,rug,24
home,carpeting,21
home,roof,19
home,parent,6
home,resident,59
home,commute,75
home,condo,71
home,dad,20
home,daddy,35
home,mother,3
home,neighborhood,29
home,domestic,95
home,doorstep,55
home,driveway,21
home,reside,15
home,dwelling,100
home,yard,4
home,foyer,21
home,habitat,81
home,hearth,100
home,housing,80
home,mailbox,20
home,living room,5
home,mom,79
home,orphanage,98
home,real estate,26
home,realtor,55
home,wallpaper,75
aboriginal,indigenous,100
aboriginal,native,23
aboriginal,land,84
aboriginal,tribe,90
indigenous,native,100
indigenous,local,100
indigenous,original,100
indigenous,aborigine,100
indigenous,tribe,56
indigenous,american,18
indigenous,native americans,15
indigenous,tribal,96
native,local,89
native,tribe,11
native,ethnic,22
native,original,67
native,culture,11
native,aborigine,100
native,african,55
native,american,18
native,apache,21
native,homeland,15
native,indian,48
native,teepee,99
native,tepee,91
native,tomahawk,25
native,wigwam,95
aborigine,tribe,75
aborigine,tribal,24
tribe,clan,100
tribe,community,45
tribe,people,9
tribe,culture,15
tribe,ethnic,75
tribe,tradition,23
tribe,traditional,20
tribe,africa,8
tribe,african,56
tribe,cannibal,39
tribe,gatherer,55
tribe,indian,13
tribe,native american,98
tribe,native americans,100
abortion,terminate,26
abortion,termination,74
abortion,miscarriage,8
abortion,pregnancy,96
abortion,fetus,60
abortion,ethical,20
abortion,procedure,15
terminate,end,100
terminate,cease,20
terminate,destroy,94
terminate,finish,25
terminate,kill,74
terminate,conclude,6
terminate,breakup,12
terminate,cancel,16
terminate,dismiss,29
terminate,expire,92
terminate,ending,74
terminate,execution,39
terminate,firing,100
termination,end,100
termination,destruction,20
termination,finish,80
termination,cancellation,4
termination,death,40
termination,cease,55
termination,completion,4
termination,ending,26
termination,finality,79
about,approximately,94
about,concerning,100
about,information,4
about,around,60
about,regarding,100
about,describe,4
about,almost,95
about,nearly,55
about,approximate,5
about,roughly,20
about,on,63
approximately,around,100
approximately,roughly,21
approximately,close,25
approximately,close to,55
approximately,nearly,85
approximately,almost,99
concerning,regarding,100
concerning,relevant,15
concerning,worry,4
concerning,worrying,55
concerning,pertinent,15
concerning,serious,4
concerning,disturbing,55
concerning,over,21
concerning,pertaining,4
concerning,related,15
concerning,important,4
concerning,disquieting,55
concerning,on,62
information,data,100
information,knowledge,100
information,fact,100
information,record,7
information,card,16
information,know,60
information,newspaper,41
information,publication,4
information,map,10
information,bit,10
information,byte,21
information,table,3
information,encyclopedia,100
information,news,99
information,memory,10
information,communication,60
information,evidence,42
information,secret,2
information,result,3
information,content,2
information,coverage,76
information,feedback,3
information,database,81
information,detail,96
information,factual,4
information,retrieve,70
information,statistic,47
information,search engine,4
information,inaccurate,4
information,tell,56
information,input,77
information,librarian,59
information,log,16
information,web,55
information,newsletter,2
information,newsstand,20
information,output,15
information,pamphlet,75
information,propaganda,75
above,over,95
above,sky,75
above,superior,25
above,higher,9
above,ceiling,55
above,height,20
above,overhead,100
above,elevated,35
above,high,4
above,atop,75
above,on,3
above,top,3
above,up,92
above,upper,4
above,upstairs,24
over,beyond,80
over,excess,24
over,more,90
over,more than,5
over,excessive,5
over,across,100
over,atop,74
over,on,2
over,done,96
over,finished,21
over,cross,24
over,ended,4
sky,blue,86
sky,cloud,100
sky,atmosphere,100
sky,bird,21
sky,air,56
sky,space,31
sky,star,13
sky,vast,5
sky,air force,4
sky,celestial,5
sky,meteor,25
sky,fly,2
sky,blue jay,64
sky,cloudy,24
sky,comet,64
sky,constellation,28
sky,dark blue,15
sky,sunrise,20
sky,sun,25
sky,falcon,19
sky,firework,25
sky,lightning,4
sky,soar,4
sky,flying,55
sky,full moon,15
sky,gazing,56
sky,high,55
sky,higher,4
sky,horizon,99
sky,lofty,20
sky,moonlight,55
sky,parachute,15
sky,rainbow,92
sky,upward,59
superior,best,70
superior,better,74
superior,dominant,5
superior,excellence,5
superior,excellent,100
superior,greatest,70
superior,greater,41
superior,preeminent,4
superior,arrogance,5
superior,quality,20
superior,premier,15
superior,supreme,55
superior,confidence,4
superior,larger,20
superior,bos,5
superior,condescending,4
superior,dominance,4
superior,elite,96
superior,elitist,5
superior,fine,75
superior,higher,96
superior,highly,4
superior,ultra,90
superior,upper,96
abrasive,coarse,96
abrasive,gritty,92
abrasive,rough,85
abrasive,sandpaper,85
abrasive,harsh,19
abrasive,grind,4
abrasive,rub,59
abrasive,grit,95
abrasive,gruff,76
abrasive,scratchy,36
abrasive,scrape,59
abrasive,scour,63
coarse,rough,100
coarse,gritty,100
coarse,harsh,56
coarse,texture,24
coarse,crude,4
coarse,sand,20
coarse,roughly,24
coarse,bristle,78
coarse,grainy,9
coarse,gruff,55
coarse,scratchy,78
coarse,uncouth,20
gritty,rough,100
gritty,tough,4
gritty,texture,55
gritty,sandpaper,5
gritty,dusty,15
gritty,grunge,90
rough,bumpy,95
rough,rugged,20
rough,uneven,95
rough,unpolished,4
rough,jagged,92
rough,tough,5
rough,sandpaper,100
rough,approximate,55
rough,approximation,5
rough,bristle,79
rough,callous,15
rough,texture,20
rough,craggy,20
rough,crude,90
rough,crusty,55
rough,grainy,44
rough,gruff,40
rough,hoarse,4
rough,scratchy,45
rough,scrape,55
rough,scaly,61
rough,stubble,16
sandpaper,grit,95
sandpaper,texture,15
sandpaper,rubbing,55
abroad,foreign,100
abroad,overseas,100
abroad,international,100
foreign,country,20
foreign,international,65
foreign,overseas,100
foreign,strange,35
foreign,exotic,96
foreign,global,2
foreign,unknown,15
foreign,unfamiliar,25
foreign,diplomat,59
foreign,diplomacy,55
foreign,diplomatic,57
foreign,embassy,40
foreign,external,26
foreign,inter,20
foreign,invasive,61
foreign,xenophobia,15
overseas,travel,22
overseas,international,78
abrupt,sudden,100
abrupt,hasty,76
abrupt,unexpected,45
abrupt,rude,59
abrupt,jerk,19
abrupt,blunt,45
abrupt,instantaneous,90
abrupt,jolt,15
abrupt,terse,60
sudden,surprise,20
sudden,unexpected,94
sudden,hasty,2
sudden,immediate,4
sudden,quick,24
sudden,surprising,55
sudden,jerk,19
sudden,bam,4
sudden,boom,6
sudden,burst,36
sudden,snap,7
sudden,rapid,4
sudden,flare,15
sudden,flash,4
sudden,instant,70
sudden,instantaneous,30
sudden,jolt,99
sudden,spurt,4
sudden,yank,4
absence,lack,100
absence,missing,29
absence,unavailability,5
absence,vacancy,71
absence,unavailable,4
absence,omission,15
absence,void,75
absence,miss,48
absence,nothing,4
absence,no,16
absence,none,61
absence,non,5
absence,nothingness,16
lack,need,100
lack,want,100
lack,require,80
lack,deficiency,15
lack,missing,4
lack,shortage,100
lack,apathy,2
lack,failure,5
lack,void,16
lack,fail,4
lack,deficit,85
lack,deprivation,100
lack,poverty,85
lack,deprive,6
lack,ignorance,55
lack,drought,4
lack,emptiness,40
lack,miss,52
lack,failing,5
lack,starvation,4
lack,stupidity,4
lack,insufficient,5
lack,inexperience,55
lack,nothing,4
lack,zero,20
lack,scarcity,81
lack,starve,63
lack,suffocation,20
missing,absent,100
missing,lost,96
missing,vanish,74
missing,vanished,21
missing,lacking,25
missing,disappear,19
missing,homesick,92
missing,nowhere,56
absent,lacking,59
absent,unavailable,40
absent,vacant,55
absent,miss,7
absent,nowhere,58
absent,removed,21
absolute,certain,65
absolute,definite,80
absolute,total,35
absolute,complete,19
absolute,unconditional,100
absolute,ultimate,4
absolute,unqualified,20
absolute,entirely,4
absolute,totally,35
absolute,definitely,80
absolute,fully,75
absolute,utter,8
certain,assured,100
certain,sure,100
certain,confident,92
certain,definite,99
certain,guaranteed,4
certain,absolutely,4
certain,convinced,9
certain,definitely,80
certain,doubtless,100
certain,inevitable,100
definite,positive,20
definite,exact,57
definite,fixed,19
definite,precise,60
definite,sure,4
definite,assured,20
definite,clear,36
